time, alt, thrust, weight, ADC_guess, ADC_actual, ADC_adj, ADC_error, A_raw, A_total, A_h, A_v, bigG, V_as, V_horiz_mph, V_vert_inc, V_vert 
0.0, 30, 32156227.2547, 22191271.2700, 0.000120000, 0.00000000, 0.000000, 0.0000000, 1.3607890, 1.3607890, 0.00000000, 0.36345, 0.9973363983, 0.000000, 912.670000, 0.0, 0.00000000
1.0, 37, 34115345.8783, 22079560.5680, 0.000860000, 0.00014886, 0.000120, -0.0000289, 1.4563799, 1.4562599, 0.00000000, 0.45892, 0.9973363974, 9.020171, 912.670000, 13.2, 13.22958486
2.0, 58, 35945239.3735, 21955414.2040, 0.002200000, 0.00074214, 0.000889, 0.0001179, 1.5538466, 1.5529577, 0.00000000, 0.55562, 0.9973363947, 20.148131, 912.670000, 16.3, 29.55059255
3.0, 97, 35948608.3489, 21828321.6109, 0.004300000, 0.00202951, 0.002082, 0.0001705, 1.6467248, 1.6446427, 0.00000000, 0.64731, 0.9973363897, 33.342354, 912.670000, 19.4, 48.90211981
4.0, 157, 35953700.6760, 21701238.1237, 0.011060000, 0.00413216, 0.004130, 0.0001678, 1.6565234, 1.6523939, 0.00000000, 0.65506, 0.9973363821, 47.627235, 912.670000, 21.0, 69.85327859
6.0, 339, 35969278.0587, 21447098.6659, 0.026800000, 0.01063349, 0.010892, 0.0004265, 1.6763900, 1.6654978, 0.00000000, 0.66816, 0.9973363589, 76.654493, 912.670000, 42.6, 112.42658929
9.0, 764, 36005315.0486, 21066015.6213, 0.044800000, 0.02511740, 0.026373, 0.0016826, 1.7074552, 1.6810817, 0.65710420, 0.55000, 0.9972085977, 118.723970, 934.292197, 58.8, 171.21636844
12.0, 1359, 36054896.5862, 20685223.7131, 0.077700000, 0.04843946, 0.043117, -0.0036395, 1.7406297, 1.6975123, 0.66880280, 0.56300, 0.9969417192, 166.666338, 977.921535, 53.7, 224.93094491
15.0, 2115, 36116738.6631, 20304830.8149, 0.127000000, 0.08168469, 0.081339, -0.0039847, 1.7756807, 1.6943413, 0.66837474, 0.56000, 0.9966602011, 219.443847, 1021.921734, 54.2, 279.12813214
18.0, 3032, 36189960.1174, 19924933.0935, 0.171000000, 0.12275894, 0.130985, 0.0042411, 1.8126404, 1.6816557, 0.66015766, 0.55000, 0.9963681904, 273.596785, 1065.637463, 53.6, 332.69792539
21.0, 4110, 36273420.0406, 19545618.1065, 0.214800000, 0.16998958, 0.166759, 0.0010104, 1.8515639, 1.6848049, 0.66881465, 0.55000, 0.9960637968, 328.447167, 1109.367666, 53.1, 385.78510789
24.0, 5347, 36365932.4451, 19166962.6773, 0.279800000, 0.22155114, 0.213790, -0.0067511, 1.8924970, 1.6787075, 0.65402252, 0.55000, 0.9957485952, 383.728788, 1152.895992, 53.1, 438.87229039
27.0, 6741, 36226083.5591, 18791951.3456, 0.323900000, 0.27422920, 0.286551, 0.0055708, 1.9351866, 1.6486355, 0.66002847, 0.51500, 0.9954234133, 438.283528, 1196.135205, 51.4, 490.27033526
30.0, 8286, 36092251.5137, 18420611.3372, 0.361500000, 0.32616536, 0.318329, -0.0022654, 1.9666059, 1.6482767, 0.65296688, 0.51800, 0.9950864660, 492.273510, 1239.339683, 49.9, 540.12402574
33.0, 9981, 35962960.3339, 18052953.9880, 0.413500000, 0.37571224, 0.363765, -0.0142122, 1.9992435, 1.6354782, 0.63992467, 0.51000, 0.9947429152, 545.890795, 1281.882639, 49.6, 589.73641084
36.0, 11823, 35836754.5419, 17688977.0948, 0.449700000, 0.41962724, 0.427712, -0.0061272, 2.0330718, 1.6053596, 0.61293250, 0.48900, 0.9943988468, 598.042174, 1323.108254, 48.2, 637.94922476
39.0, 13808, 35712167.7686, 17328666.2647, 0.487000000, 0.45737955, 0.455827, -0.0076796, 2.0680619, 1.6122347, 0.61724525, 0.49500, 0.9940503147, 649.413008, 1363.587595, 47.5, 685.43812256
42.0, 15936, 35587927.3211, 16971996.0219, 0.510900000, 0.48915313, 0.494680, -0.0021531, 2.1041820, 1.6095024, 0.61335491, 0.49400, 0.9936910612, 700.979398, 1404.080836, 47.7, 733.16832574
45.0, 18208, 35462914.9439, 16618932.2250, 0.528400000, 0.51447550, 0.513053, -0.0035755, 2.1414088, 1.6283556, 0.62486422, 0.51000, 0.9933188745, 753.124904, 1444.824781, 48.5, 781.62244504
48.0, 20628, 35576160.4155, 16266613.0064, 0.537000000, 0.53316962, 0.531975, -0.0047696, 2.1801044, 1.6481289, 0.61937549, 0.53400, 0.9929340457, 806.376928, 1485.766835, 50.4, 832.00700734
51.0, 23204, 35686811.1506, 15915019.9078, 0.554000000, 0.54603091, 0.541770, -0.0090309, 2.2353827, 1.6936131, 0.67581150, 0.56000, 0.9925219447, 862.001825, 1528.385324, 52.8, 884.80462339
54.0, 25940, 35793997.5846, 15564129.5117, 0.553300000, 0.55385786, 0.563031, 0.0001421, 2.2928883, 1.7298574, 0.74224789, 0.57000, 0.9920573256, 921.374393, 1575.046962, 54.5, 939.33963814
57.0, 28841, 35896796.0550, 15213913.5173, 0.555500000, 0.55741930, 0.553158, -0.0041193, 2.3527147, 1.7995568, 0.87580847, 0.58000, 0.9915100874, 986.003106, 1628.289557, 55.5, 994.83987439
60.0, 31910, 35994320.3764, 14864338.5708, 0.551500000, 0.55642895, 0.559619, -0.0009290, 2.4149609, 1.8553416, 0.97011247, 0.59000, 0.9908635307, 1056.662643, 1689.030100, 56.5, 1051.30533214
63.0, 35150, 36085792.7468, 14515366.6501, 0.537600000, 0.54953185, 0.552429, 0.0019682, 2.4797390, 1.9273100, 1.08796927, 0.60000, 0.9901146586, 1133.112620, 1756.751853, 57.4, 1108.73601139
66.0, 38563, 36169886.9077, 14166955.8477, 0.522200000, 0.53778157, 0.535632, -0.0001816, 2.5471804, 2.0115486, 1.24481540, 0.59000, 0.9892301540, 1216.617093, 1833.512782, 57.4, 1166.16669064
69.0, 42146, 36244625.6181, 13819057.1160, 0.501600000, 0.52297372, 0.522382, -0.0007737, 2.6173918, 2.0950102, 1.38801464, 0.58000, 0.9881863316, 1307.639027, 1920.146787, 56.5, 1222.63214839
72.0, 45897, 36310231.6066, 13471610.4736, 0.467800000, 0.50505444, 0.502374, -0.0034544, 2.6904449, 2.1880712, 1.53613502, 0.57000, 0.9869703502, 1406.263988, 2016.366746, 55.5, 1278.13238464
75.0, 49813, 36367205.3640, 13124558.3617, 0.473900000, 0.48446367, 0.471254, -0.0166637, 2.7665869, 2.2953325, 1.69571047, 0.56000, 0.9855570194, 1513.215594, 2122.711522, 54.5, 1332.66739939
78.0, 53892, 36416173.3392, 12777847.1273, 0.435900000, 0.46050879, 0.490564, 0.0133912, 2.8461137, 2.3555500, 1.78624758, 0.55000, 0.9839526791, 1627.248929, 2237.286320, 53.6, 1386.23719264
81.0, 58129, 36457842.2598, 12431427.5864, 0.408900000, 0.43434843, 0.422509, 0.0015516, 2.9293638, 2.5068550, 1.99044971, 0.54000, 0.9821168083, 1749.770823, 2361.559596, 52.6, 1438.84176439
84.0, 62523, 36492959.4138, 12085255.3302, 0.386400000, 0.40693186, 0.407348, 0.0019681, 3.0167209, 2.6093725, 2.12657645, 0.53000, 0.9800020129, 1882.269698, 2497.031488, 51.6, 1490.48111464
87.0, 67071, 36522271.6293, 11739290.8169, 0.356000000, 0.37794686, 0.384432, 0.0084531, 3.1086170, 2.7241852, 2.27402261, 0.52000, 0.9776105395, 2023.404144, 2641.834426, 50.7, 1541.15524339
90.0, 71769, 36546417.6914, 11393499.2457, 0.324800000, 0.34859014, 0.347547, 0.0074099, 3.2055360, 2.8579891, 2.44031076, 0.51000, 0.9748983360, 2174.185603, 2796.960878, 49.7, 1590.86415064
93.0, 76614, 36566128.2922, 11047849.8227, 0.294500000, 0.31946132, 0.317390, 0.0053387, 3.3080118, 2.9906217, 2.60163274, 0.50000, 0.9718256118, 2335.174981, 2962.867432, 48.7, 1639.60783639
96.0, 81606, 36582106.9720, 10702316.2270, 0.272500000, 0.29083352, 0.289161, 0.0036665, 3.4166556, 3.1274942, 2.75951982, 0.50000, 0.9683631800, 2506.425271, 3139.277650, 48.3, 1687.86891139
99.0, 86742, 36474978.0818, 10358221.9941, 0.239000000, 0.26296817, 0.268834, 0.0095318, 3.5316975, 3.2628640, 2.91379324, 0.50000, 0.9644799482, 2687.967918, 3325.959596, 48.3, 1736.12998639
102.0, 92021, 34801281.1564, 10033075.8025, 0.211000000, 0.23615295, 0.229468, 0.0028470, 3.6354732, 3.4060050, 3.08453366, 0.48000, 0.9601290071, 2879.959440, 3523.336212, 47.3, 1783.42583989
105.0, 97439, 33265475.2523, 9725278.3363, 0.184000000, 0.20986908, 0.208153, 0.0011309, 3.5784355, 3.3702825, 3.05647477, 0.46000, 0.9554129656, 3076.729003, 3725.407804, 45.4, 1828.79125039
108.0, 102991, 29792951.1973, 9456477.2415, 0.156000000, 0.18405901, 0.182869, -0.0000590, 3.5177450, 3.3348759, 3.02889746, 0.44000, 0.9504779514, 3272.237517, 3925.648672, 43.4, 1872.22621789
111.0, 108670, 27656026.9560, 9211675.4031, 0.131000000, 0.15895268, 0.156059, -0.0029527, 3.2342598, 3.0782008, 2.75628556, 0.42000, 0.9455439233, 3458.893482, 4116.011730, 41.5, 1913.73074239
114.0, 114463, 26213948.9566, 8983068.2764, 0.131000000, 0.11455989, 0.133953, 0.0164401, 3.0786838, 2.9447311, 2.66834440, 0.30000, 0.9407019722, 3633.425454, 4294.510689, 34.7, 1948.47871639
114.1, 114658, 23909062.8970, 8176228.3750, 0.093200000, 0.11394877, 0.114560, 0.0170512, 3.2061175, 3.0915576, 2.83167568, 0.30000, 0.9405347075, 3639.281373, 4300.543346, 1.0, 1949.44393789
117.0, 120352, 23911968.0726, 7980182.7200, 0.079300000, 0.09741517, 0.076149, -0.0042152, 2.9960546, 2.9199058, 2.64327893, 0.30000, 0.9356036798, 3808.646777, 4474.693088, 28.0, 1977.43536139
120.0, 126328, 23914291.6900, 7777376.8700, 0.067560000, 0.08250206, 0.083515, -0.0032021, 3.0745544, 2.9910392, 2.72389410, 0.30000, 0.9304003679, 3981.051860, 4651.301411, 29.0, 2006.39200639
123.0, 132390, 23916082.7743, 7574571.0200, 0.058700000, 0.06993312, 0.070762, -0.0023731, 3.1571810, 3.0864189, 2.83056475, 0.30000, 0.9248014487, 4159.713085, 4834.072425, 29.0, 2035.34865139
126.0, 138540, 23917465.5152, 7371765.1700, 0.049040000, 0.05935049, 0.061073, -0.0006505, 3.2442817, 3.1832086, 2.93814197, 0.30000, 0.9187560679, 4345.475771, 5023.893326, 29.0, 2064.30529639
129.0, 144770, 23918533.8272, 7168959.3200, 0.042850000, 0.05044483, 0.049690, -0.0014048, 3.3362535, 3.2865630, 3.08256376, 0.22111, 0.9121961644, 4538.716231, 5222.006324, 25.1, 2089.45467499
132.0, 151055, 23919357.5915, 6966153.4700, 0.035350000, 0.04298437, 0.044255, -0.0001344, 3.4335353, 3.3892805, 3.26421817, 0.00000, 0.9050043313, 4739.650813, 5430.848950, 10.7, 2100.12573109
135.0, 157355, 23919993.4995, 6763347.6200, 0.032950000, 0.03673751, 0.035484, -0.0013875, 3.5366151, 3.5011308, 3.38214190, 0.00000, 0.8971685628, 4948.572936, 5649.549279, 0.0, 2100.12573109
137.0, 161555, 23920338.8233, 6628143.7200, 0.030850000, 0.03308492, 0.034338, -0.0001349, 3.6088526, 3.5745151, 3.46009342, 0.00000, 0.8916103180, 5092.434288, 5799.646384, 0.0, 2100.12573109
138.0, 163656, 21788223.8446, 6563703.7700, 0.029600000, 0.03139510, 0.030985, -0.0005451, 3.6443355, 3.6133506, 3.50161872, 0.00000, 0.8887262856, 5165.757175, 5876.005409, 0.0, 2100.12573109
139.0, 165756, 19656076.3936, 6505587.8200, 0.027850000, 0.02974912, 0.030145, -0.0001491, 3.3491553, 3.3190102, 3.19781085, 0.00000, 0.8859144517, 5236.399566, 5949.487608, 0.0, 2100.12573109
140.0, 167856, 17666050.6498, 6453585.0700, 0.027560000, 0.02815528, 0.027999, -0.0003053, 3.0457608, 3.0177617, 2.93877642, -0.20000, 0.8833068363, 5301.174795, 6016.796312, 0.0, 2100.12573109
140.1, 168066, 9705517.4547, 6451040.8750, 0.025960000, 0.02799023, 0.027865, -0.0004302, 2.7384807, 2.7106154, 2.62820466, -0.22000, 0.8830687003, 5307.054185, 6022.902414, 0.0, 2100.12573109
141.0, 169956, 9705572.7658, 6428143.1200, 0.022840000, 0.02639526, 0.026390, -0.0004353, 1.5098478, 1.4834575, 1.41574586, -0.44000, 0.8815028777, 5345.504719, 6062.822609, 0.0, 2100.12573109
144.0, 176256, 9705732.3148, 6351817.2700, 0.017440000, 0.02132315, 0.023275, 0.0015168, 1.5279994, 1.5047241, 1.43220450, -0.42000, 0.8777748311, 5435.850543, 6156.535209, 0.0, 2100.12573109
147.0, 182557, 9705859.2201, 6275491.4200, 0.013630000, 0.01713688, 0.015923, 0.0003031, 1.5466091, 1.5306860, 1.45421139, -0.40000, 0.8739368795, 5527.531005, 6251.513527, 0.0, 2100.12573109
150.0, 188857, 9705959.6798, 6199165.5700, 0.011103000, 0.01369859, 0.013327, -0.0000686, 1.5656719, 1.5523450, 1.47166619, -0.38000, 0.8699852563, 5620.576656, 6347.790344, 0.0, 2100.12573109
153.0, 195157, 9706038.8100, 6122839.7200, 0.009100000, 0.01088828, 0.011172, 0.0002147, 1.5852056, 1.5740340, 1.48912661, -0.36000, 0.8659236650, 5714.841612, 6445.216055, 0.0, 2100.12573109
156.0, 201458, 9706100.8166, 6046513.8700, 0.007155000, 0.00860355, 0.008885, 0.0004965, 1.6052289, 1.5963436, 1.50722170, -0.34000, 0.8617489506, 5810.344739, 6543.811730, 0.0, 2100.12573109
159.0, 207758, 9706149.1421, 5970188.0200, 0.006050000, 0.00675649, 0.006659, 0.0003985, 1.6257613, 1.6191028, 1.52577911, -0.32000, 0.8574572298, 5907.119587, 6643.613466, 0.0, 2100.12573109
162.0, 214059, 9706186.5921, 5893862.1700, 0.004758000, 0.00527188, 0.005651, 0.0007781, 1.6468232, 1.6411717, 1.54359520, -0.30000, 0.8530464670, 6005.155889, 6744.612082, 0.0, 2100.12573109
165.0, 220359, 9706215.4423, 5817536.3200, 0.003829000, 0.00408586, 0.003980, 0.0006721, 1.6684359, 1.6644560, 1.56270012, -0.28000, 0.8485134170, 6104.469790, 6846.825595, 0.0, 2100.12573109
168.0, 226659, 9706237.5298, 5741210.4700, 0.003124000, 0.00314439, 0.003157, 0.0006846, 1.6906218, 1.6874649, 1.58151504, -0.26000, 0.8438540876, 6205.091963, 6950.286870, 0.0, 2100.12573109
