time, alt, thrust, weight, ADC_guess, ADC_actual, ADC_adj, ADC_error, A_raw, A_total, A_h, A_v, bigG, V_as, V_horiz_mph, V_vert_inc, V_vert 
0.0, 1, 24748012.4540, 25417828.5900, 0.000000000, 0.00000000, 0.000000, 0.0000000, 0.9736478, 0.9736478, 0.00000000, -0.02369, 0.9973364020, 0.000000, 912.670000, 0.0, 0.00000000
1.0, 1, 24748012.4540, 25340645.4317, 0.000000000, 0.00000000, 0.000000, 0.0000000, 0.9766133, 0.9766133, 0.00000000, -0.02072, 0.9973364020, 0.000000, 912.670000, 0.0, 0.00000000
2.0, 1, 24748012.4540, 25263462.2735, 0.000000000, 0.00000000, 0.000000, 0.0000000, 0.9795970, 0.9795970, 0.00000000, -0.01774, 0.9973364020, 0.000000, 912.670000, 0.0, 0.00000000
3.0, 1, 24748012.4540, 25186279.1152, 0.000000000, 0.00000000, 0.000000, 0.0000000, 0.9825990, 0.9825990, 0.00000000, -0.01474, 0.9973364020, 0.000000, 912.670000, 0.0, 0.00000000
4.0, 1, 24748012.4540, 25109095.9569, 0.000000000, 0.00000000, 0.000000, 0.0000000, 0.9856194, 0.9856194, 0.00000000, -0.01172, 0.9973364020, 0.000000, 912.670000, 0.0, 0.00000000
5.0, 1, 24748012.4540, 25031912.7987, 0.000000000, 0.00000000, 0.000000, 0.0000000, 0.9886585, 0.9886585, 0.00000000, -0.00868, 0.9973364020, 0.000000, 912.670000, 0.0, 0.00000000
6.0, 1, 24748012.4540, 24954729.6404, 0.000000000, 0.00000000, 0.000000, 0.0000000, 0.9917163, 0.9917163, 0.00000000, -0.00562, 0.9973364020, 0.000000, 912.670000, 0.0, 0.00000000
7.0, 1, 24748012.4540, 24877546.4821, 0.000000000, 0.00000000, 0.000000, 0.0000000, 0.9947931, 0.9947931, 0.00000000, -0.00254, 0.9973364020, 0.000000, 912.670000, 0.0, 0.00000000
8.0, 1, 24748012.4634, 24800363.3239, 0.000000006, 0.00000000, 0.000000, -0.0000000, 0.9978891, 0.9978891, 0.02055255, 0.00034, 0.9973362704, 0.022558, 912.692543, 0.0, 0.00121858
9.0, 1, 24748014.8904, 24723180.1656, 0.000000686, 0.00000062, 0.000001, -0.0000001, 1.0010045, 1.0010039, 0.02366343, 0.00339, 0.9973334389, 0.509219, 913.177505, 0.0, 0.06121962
10.0, 1, 24748028.7686, 24645997.0074, 0.000002898, 0.00000274, 0.000003, -0.0000001, 1.0041398, 1.0041371, 0.02678361, 0.00645, 0.9973302065, 1.071317, 913.730813, 0.0, 0.21948557
11.0, 1, 24748064.4266, 24568813.8491, 0.000007294, 0.00000701, 0.000007, -0.0000003, 1.0072957, 1.0072887, 0.02991294, 0.00952, 0.9973265712, 1.713722, 914.352668, 0.0, 0.47631799
12.0, 2, 24748132.2241, 24491630.6908, 0.000014663, 0.00001421, 0.000014, -0.0000004, 1.0104727, 1.0104585, 0.03305125, 0.01259, 0.9973225312, 2.440128, 915.043270, 0.0, 0.83201531
